learning_rate,id,action_size,epsilon_decay,gamma,file,state_size,std,mean,max,epsilon,epsilon_min,min
0.001,1,2,0.95,0.9,./saves/DQNAgent_model-1.h5,4,5.34756019134,139.06,150.0,0.009888364709658948,0.01,127.0
0.001,2,2,0.995,0.9,./saves/DQNAgent_model-2.h5,4,5.45683974476,107.77,122.0,0.009974795556658738,0.01,97.0
0.001,3,2,0.9995,0.9,./saves/DQNAgent_model-3.h5,4,29.6386167019,241.18,354.0,0.5767086461670963,0.01,188.0
0.001,4,2,0.95,0.9,./saves/DQNAgent_model-4.h5,4,0.0,500.0,500.0,0.009888364709658948,0.01,500.0
0.001,5,2,0.995,0.9,./saves/DQNAgent_model-5.h5,4,18.601118246,82.28,98.0,0.00998645168764533,0.01,36.0
0.001,6,2,0.9995,0.9,./saves/DQNAgent_model-6.h5,4,66.2582606171,281.77,500.0,0.606454822840097,0.01,199.0
0.001,7,2,0.95,0.9,./saves/DQNAgent_model-7.h5,4,7.93095202356,124.2,141.0,0.009863643797884796,0.01,107.0
0.001,8,2,0.995,0.9,./saves/DQNAgent_model-8.h5,4,16.1685373488,240.72,278.0,0.009973126135902835,0.01,207.0
0.001,9,2,0.9995,0.9,./saves/DQNAgent_model-9.h5,4,21.0059610587,219.36,290.0,0.6374148194478437,0.01,189.0
0.001,10,2,0.95,0.95,./saves/DQNAgent_model-10.h5,4,46.9840015324,152.06,353.0,0.009888364709658948,0.01,44.0
0.001,11,2,0.995,0.95,./saves/DQNAgent_model-11.h5,4,111.347786687,402.48,500.0,0.009974795556658738,0.01,195.0
0.001,12,2,0.9995,0.95,./saves/DQNAgent_model-12.h5,4,59.2890706623,323.69,500.0,0.5767086461670963,0.01,247.0
0.001,13,2,0.95,0.95,./saves/DQNAgent_model-13.h5,4,8.69148433813,123.59,156.0,0.009888364709658948,0.01,110.0
0.001,14,2,0.995,0.95,./saves/DQNAgent_model-14.h5,4,11.1049538495,217.2,250.0,0.00998645168764533,0.01,194.0
0.001,15,2,0.9995,0.95,./saves/DQNAgent_model-15.h5,4,4.83589702124,131.79,143.0,0.6070617328074711,0.01,122.0
0.001,16,2,0.95,0.95,./saves/DQNAgent_model-16.h5,4,109.840946828,190.08,500.0,0.009863643797884796,0.01,68.0
0.001,17,2,0.995,0.95,./saves/DQNAgent_model-17.h5,4,7.5531715193,118.36,133.0,0.009973126135902835,0.01,104.0
0.001,18,2,0.9995,0.95,./saves/DQNAgent_model-18.h5,4,10.7996111041,185.22,210.0,0.6374148194478437,0.01,162.0
0.001,19,2,0.95,0.99,./saves/DQNAgent_model-19.h5,4,7.00436292606,158.33,175.0,0.009888364709658948,0.01,143.0
0.001,20,2,0.995,0.99,./saves/DQNAgent_model-20.h5,4,7.69958440437,121.42,140.0,0.009974795556658738,0.01,108.0
0.001,21,2,0.9995,0.99,./saves/DQNAgent_model-21.h5,4,83.9064359868,353.7,500.0,0.5764202918440128,0.01,206.0
0.001,22,2,0.95,0.99,./saves/DQNAgent_model-22.h5,4,4.28106295212,144.35,154.0,0.009888364709658948,0.01,136.0
0.001,23,2,0.995,0.99,./saves/DQNAgent_model-23.h5,4,5.80078442971,150.03,162.0,0.00998645168764533,0.01,136.0
0.001,24,2,0.9995,0.99,./saves/DQNAgent_model-24.h5,4,32.7443598197,236.37,402.0,0.606454822840097,0.01,187.0
0.001,25,2,0.95,0.99,./saves/DQNAgent_model-25.h5,4,3.33322666496,21.36,30.0,0.009863643797884796,0.01,16.0
0.001,26,2,0.995,0.99,./saves/DQNAgent_model-26.h5,4,10.618375582,89.01,118.0,0.009973126135902835,0.01,68.0
0.001,27,2,0.9995,0.99,./saves/DQNAgent_model-27.h5,4,80.2730689584,249.12,500.0,0.6370961120381199,0.01,168.0
