state_size,max,min,file,action_size,std,learning_rate,mean,epsilon_decay,epsilon,epsilon_min,id,gamma
4,24.0,-2.0,./saves/DQNAgent_model-1.h5,2,7.39256383131,0.001,6.5,0.95,0.6302494097246091,0.01,1,0.9
4,31.0,-2.0,./saves/DQNAgent_model-2.h5,2,10.1985293057,0.001,8.7,0.995,0.9080950994396816,0.01,2,0.9
4,24.0,0.0,./saves/DQNAgent_model-3.h5,2,6.56962708226,0.001,6.2,0.9995,0.9457335400324781,0.01,3,0.9
4,27.0,-1.0,./saves/DQNAgent_model-4.h5,2,8.72295821382,0.001,8.1,0.95,0.6302494097246091,0.01,4,0.95
4,24.0,-1.0,./saves/DQNAgent_model-5.h5,2,6.80881781222,0.001,8.8,0.995,0.9080950994396816,0.01,5,0.95
4,16.0,0.0,./saves/DQNAgent_model-6.h5,2,5.08330601086,0.001,7.6,0.9995,0.9457335400324781,0.01,6,0.95
4,35.0,-1.0,./saves/DQNAgent_model-7.h5,2,13.0215206485,0.001,9.8,0.95,0.5987369392383786,0.01,7,0.99
4,31.0,-1.0,./saves/DQNAgent_model-8.h5,2,9.61717214154,0.001,12.1,0.995,0.9126583913966649,0.01,8,0.99
4,33.0,0.0,./saves/DQNAgent_model-9.h5,2,8.86791971096,0.001,9.4,0.9995,0.9462066433541552,0.01,9,0.99
4,54.0,-2.0,./saves/DQNAgent_model-10.h5,2,17.0261563484,0.001,15.1,0.95,0.6302494097246091,0.01,10,0.9
4,58.0,0.0,./saves/DQNAgent_model-11.h5,2,18.2452733605,0.001,20.9,0.995,0.9511101304657719,0.01,11,0.9
4,29.0,4.0,./saves/DQNAgent_model-12.h5,2,7.79487010796,0.001,13.2,0.9995,0.9955089895078715,0.01,12,0.9
4,49.0,4.0,./saves/DQNAgent_model-13.h5,2,12.3778027129,0.001,13.3,0.95,0.6302494097246091,0.01,13,0.95
4,20.0,-1.0,./saves/DQNAgent_model-14.h5,2,6.46219776856,0.001,6.2,0.995,0.9558895783575597,0.01,14,0.95
4,24.0,1.0,./saves/DQNAgent_model-15.h5,2,6.79411510059,0.001,8.8,0.9995,0.9950112350131176,0.01,15,0.95
4,14.0,3.0,./saves/DQNAgent_model-16.h5,2,3.2,0.001,7.6,0.95,0.6302494097246091,0.01,16,0.99
4,26.0,1.0,./saves/DQNAgent_model-17.h5,2,8.07712820252,0.001,10.4,0.995,0.9511101304657719,0.01,17,0.99
4,26.0,0.0,./saves/DQNAgent_model-18.h5,2,7.60591874792,0.001,9.5,0.9995,0.9955089895078715,0.01,18,0.99
4,53.0,-2.0,./saves/DQNAgent_model-19.h5,2,16.11862277,0.001,13.7,0.95,0.6286737862002975,0.01,19,0.9
4,43.0,-2.0,./saves/DQNAgent_model-20.h5,2,15.7619795711,0.001,11.6,0.995,1.0036840572754377,0.01,20,0.9
4,25.0,-3.0,./saves/DQNAgent_model-21.h5,2,8.34805366538,0.001,9.9,0.9995,1.044761796763774,0.01,21,0.9
4,20.0,3.0,./saves/DQNAgent_model-22.h5,2,5.21152568832,0.001,7.2,0.95,0.6617618802108395,0.01,22,0.95
4,24.0,0.0,./saves/DQNAgent_model-23.h5,2,7.26636084983,0.001,8.0,0.995,1.0087276957542088,0.01,23,0.95
4,45.0,-3.0,./saves/DQNAgent_model-24.h5,2,11.7575507654,0.001,15.6,0.9995,1.0452844389832654,0.01,24,0.95
4,31.0,0.0,./saves/DQNAgent_model-25.h5,2,10.5621967412,0.001,12.2,0.95,0.6965914528535153,0.01,25,0.99
4,26.0,0.0,./saves/DQNAgent_model-26.h5,2,8.32105762509,0.001,8.6,0.995,1.0036840572754377,0.01,26,0.99
4,84.0,0.0,./saves/DQNAgent_model-27.h5,2,24.3723203655,0.001,11.7,0.9995,1.0458073426545926,0.01,27,0.99
